fips,name,state,farmvalue,valuesource,profit,profitsource,estprofit,estprofitsource,estprofit_changeirr,estprofitsource_changeirr,obscrop,toadd,esttoadd,esttoadd_changeirr
06087,Santa Cruz,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06089,Shasta,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,whea,-Inf,Inf,Inf
06091,Sierra,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06093,Siskiyou,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,whea,-Inf,Inf,Inf
06095,Solano,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,whea,-Inf,Inf,Inf
06097,Sonoma,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06099,Stanislaus,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,whea,-Inf,Inf,Inf
06101,Sutter,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,rice,0.0,Inf,Inf
06103,Tehama,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,corn,NaN,Inf,Inf
06105,Trinity,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06107,Tulare,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,whea,-Inf,Inf,Inf
06109,Tuolumne,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06111,Ventura,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06113,Yolo,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,rice,0.0,Inf,Inf
06115,Yuba,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,rice,0.0,Inf,Inf
08001,Adams,CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,whea,212.97700000000017,Inf,Inf
08003,Alamosa,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,barl,0.0,Inf,Inf
08005,Arapahoe (South Arapahoe),CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,whea,212.97700000000017,Inf,Inf
08007,Archuleta,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
08009,Baca,CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,whea,212.97700000000017,Inf,Inf
08011,Bent,CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
08013,Boulder,CO,0.0,corn,185.76,corn,0.0,none,0.0,none,whea,142.639,Inf,Inf
08015,Chaffee,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
08017,Cheyenne,CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,whea,212.97700000000017,Inf,Inf
08019,Clear Creek,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
08021,Conejos,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
08023,Costilla,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
08025,Crowley,CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,NA,216.4600000000001,0.0,0.0
08027,Custer,CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,NA,216.4600000000001,0.0,0.0
08029,Delta,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
08031,Denver,CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,NA,216.4600000000001,0.0,0.0
08033,Dolores,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,whea,-Inf,Inf,Inf
08035,Douglas,CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,whea,212.97700000000017,Inf,Inf
08037,Eagle,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
08039,Elbert,CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
08041,El Paso,CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,NA,216.4600000000001,0.0,0.0
08043,Fremont,CO,40.21,corn,216.4600000000001,corn,0.0,none,0.0,none,NA,216.4600000000001,0.0,0.0
08045,Garfield,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
08047,Gilpin,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
08049,Grand,CO,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
