"resid","storage","storagemax"
"reservoir.1551",3.62668796878192e-19,82026.42
"reservoir.1552",4.6751464848847e-15,36628.1886
"reservoir.1553",0,364123.296
"reservoir.1554",20965.8171814941,55650.91716
"reservoir.1555",7.17460644759404e-13,54519.816
"reservoir.1556",0,38731.272
"reservoir.1557",6875.92613497226,15855.15192
"reservoir.1558",2.31077199243873e-13,10825.02048
"reservoir.1559",0,126481.0392
"reservoir.156",0,486445.0406
"reservoir.1560",91531.6292074328,4465197.6
"reservoir.1561",0,50490.03684
"reservoir.1562",0,458854.56
"reservoir.1563",0,7018.5012
"reservoir.1564",0,11286.342
"reservoir.1565",0,71541.84
"reservoir.1566",0,88637.8728
"reservoir.1567",0,162819.36
"reservoir.1568",0,19687.57428
"reservoir.1569",4332.74281339837,15851.45148
"reservoir.157",0,42885.63264
"reservoir.1570",38.6778451985876,58748.18544
"reservoir.1571",4.11366847019005e-16,135682.8
"reservoir.1572",14905.8803703421,22471.53864
"reservoir.1573",12498.0349179262,22523.3448
"reservoir.1575",8.82984393853926e-17,19612.332
"reservoir.1577",9788.89728,9788.89728
"reservoir.1578",2.05475662475655e-14,14431.716
"reservoir.1579",5511.40557147551,6884.05188
"reservoir.158",0,366157.3045
"reservoir.1580",0,45145.368
"reservoir.1581",1.32967061662709e-15,3120704.4
"reservoir.1582",1042.01309789564,34537.44
"reservoir.1583",357.606934993698,1022278.62
"reservoir.1584",0,69074.88
"reservoir.1585",7.54172552868176e-15,72775.32
"reservoir.1586",0,24052.86
"reservoir.1587",5.88379247857481e-16,12088.104
"reservoir.1588",0,67841.4
"reservoir.1589",0,24151.5384
"reservoir.159",0,11372.6856
"reservoir.1590",1.89478062869326e-15,298748.856
"reservoir.1591",1.96126415952494e-16,19543.25712
"reservoir.1592",0,283847.1841
"reservoir.1593",3894.24064680625,78973.557
"reservoir.1594",121911.965468788,376211.4
"reservoir.1595",0,24669.6
"reservoir.1596",0,15418.5
"reservoir.1597",1.3305446287652e-12,1660264.08
"reservoir.1598",0,76475.76
"reservoir.1599",25533.4968934931,92511
"reservoir.16",0,20475.768
"reservoir.160",0,685814.88
"reservoir.1600",981.846258906223,34204.4004
"reservoir.1601",0,30804.92952
"reservoir.1602",5222.75492873693,31823.784
"reservoir.1603",956.196635146175,26026.428
"reservoir.1604",0,20618.85168
"reservoir.1605",56.9392131195837,88854.96528
"reservoir.1606",0,23404.04952
"reservoir.1607",0,10977.972
"reservoir.1608",0,856486.5737
"reservoir.1609",0,124834.3434
"reservoir.161",0,32193.828
"reservoir.1610",1571.24881019163,14185.02
"reservoir.1611",0,23090.7456
"reservoir.1612",145.272045575122,229797.324
"reservoir.1613",1362.82283426144,12334.8
"reservoir.1614",1026.39596876698,11964.756
"reservoir.1615",0,166593.8088
"reservoir.1616",0,9436.122
"reservoir.1617",144314.378897166,437885.4
"reservoir.1618",1251.60645913631,238061.64
"reservoir.1619",4013.44740418594,137261.6544
"reservoir.162",0,11471.364
"reservoir.1620",0,28770.921
"reservoir.1621",111285.999163689,146784.12
"reservoir.1622",3857.48358098007,13611.4518
"reservoir.1623",333.622559445968,90044.04
"reservoir.1624",0,107374.434
"reservoir.1625",9.95073061506224e-15,10484.58
"reservoir.1626",0,481958.8739
"reservoir.1627",11945.8532474354,56579.7276
"reservoir.1628",0,15803.34576
"reservoir.1629",0,205818.4728
"reservoir.163",0,596757.624
"reservoir.1630",0,50740.43328
"reservoir.1631",0,80669.592
"reservoir.1632",1.10912069416357e-14,26889.864
"reservoir.1633",0,49709.244
"reservoir.1634",1323.91912239526,17207.046
"reservoir.1635",8614.6426524361,10632.5976
"reservoir.1636",336273.593182883,430484.52
"reservoir.1637",1.12664653435084e-14,15665.196
"reservoir.1638",0,9497.796
"reservoir.1639",0,7524.228
"reservoir.164",0,75624.6588
"reservoir.1640",0,16035.24
"reservoir.1641",0,98678.4
"reservoir.1642",0,6537.444
"reservoir.1643",1039.45144666484,35154.18
"reservoir.1644",5655.52545961505,632775.24
"reservoir.1645",0,17466.0768
"reservoir.1646",0,339780.5682
